year,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Pk,Min,Age,n_FW,n_MF,n_DF,n_GK,n_S,n_nS
2019,1,Al-Hilal,30,22,6,2,74,26,48,72,10683,12,29691,27,3,13,9,2,20,7
2018,1,Al-Nassr,30,22,4,4,69,27,42,70,16408,8,29648,26,4,13,11,3,22,9
2018,2,Al-Hilal,30,21,6,3,66,33,33,69,19551,12,29634,27,5,14,9,2,19,11
2016,1,Al-Hilal,26,21,3,2,63,16,47,66,15387,5,25668,25,4,17,9,1,25,6
2014,1,Al-Nassr,26,20,4,2,62,20,42,64,19579,7,25621,26,6,11,9,2,22,6
2019,2,Al-Nassr,30,19,7,4,60,26,34,64,8923,9,29557,25,3,13,9,2,20,7
2015,1,Al-Ahli,26,19,6,1,55,21,34,63,27716,9,25672,26,4,8,12,2,21,5
2014,2,Al-Ahli,26,17,9,0,59,22,37,60,36165,7,25736,25,7,10,11,2,22,8
2017,1,Al-Hilal,26,16,8,2,47,23,24,56,12194,6,25740,26,5,17,9,2,24,9
2018,3,Al-Taawoun,30,16,8,6,61,31,30,56,4446,9,29575,27,5,11,8,2,17,9
2016,2,Al-Ahli,26,17,4,5,57,30,27,55,20689,5,25721,25,3,13,10,2,23,5
2017,2,Al-Ahli,26,16,7,3,59,26,33,55,16213,7,25739,26,3,17,10,2,23,9
2015,2,Al-Hilal,26,17,4,5,52,23,29,55,11804,2,25729,25,5,10,12,3,25,5
2018,4,Al-Ahli,30,17,4,9,68,41,27,55,18889,8,29582,26,5,16,13,2,25,11
2018,5,Al-Shabab,30,15,9,6,39,25,14,54,3428,3,29569,25,4,17,7,3,20,11
2014,3,Al-Hilal,26,16,6,4,46,17,29,54,13043,3,25691,25,6,8,12,3,24,5
2014,4,Al-Ittihad,26,16,4,6,44,33,11,52,42371,5,25592,25,8,10,12,2,24,8
2016,4,Al-Ittihad,26,17,4,5,57,37,20,52,25407,3,25737,23,3,15,11,3,28,4
2016,3,Al-Nassr,26,16,4,6,44,25,19,52,7635,4,25740,26,4,13,7,3,23,4
2019,3,Al-Ahli,30,15,5,10,49,36,13,50,10244,4,29655,26,7,14,11,4,27,9
2015,3,Al-Ittihad,26,15,4,7,54,37,17,49,22728,5,25674,24,7,11,9,3,25,5
2019,5,Al-Faisaly,30,14,6,10,41,36,5,48,2459,5,28868,26,3,11,8,2,16,8
2019,6,Al-Raed,30,13,7,10,41,50,-9,46,3616,8,29260,25,3,10,8,2,16,7
2015,4,Al-Taawoun,26,13,6,7,54,35,19,45,5378,1,25571,26,6,9,9,3,23,4
2017,3,Al-Nassr,26,12,8,6,47,34,13,44,5480,8,25690,25,6,14,12,3,25,10
