Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,GA,G_PK,GA_PK,year
Abdulaziz Al-Aazmi,sa KSA,MF,Najran,23,1991,3,3,270,0,0,0,0,1,0,0,0,0,0,0,2014
Ahmed Abbas,sa KSA,MF,Al-Nassr,29,1984,1,0,45,0,0,0,0,0,0,0,0,0,0,0,2014
Hadi Al Abbas,sa KSA,MF,Al-Khaleej,28,1985,11,8,708,0,0,0,0,3,0,0,0,0,0,0,2014
Issa Al Abbas,sa KSA,DF,Al-Khaleej,31,1982,13,10,977,0,0,0,0,0,0,0,0,0,0,0,2014
Mohamed Abdel-Shafy,eg EGY,DF,Al-Ahli,29,1985,17,17,"1,526",0,2,0,0,0,0,0,0.12,0.12,0,0.12,2014
Omar Abdulaziz,sa KSA,"GK,MF",Al-Faisaly,30,1983,26,26,"2,298",0,0,0,0,2,0,0,0,0,0,0,2014
Hussein Abdulghani,sa KSA,DF,Al-Nassr,37,1977,22,22,"1,955",2,2,0,0,3,0,0.09,0.09,0.18,0.09,0.18,2014
Abdullah El Abdullah,sa KSA,DF,Al-Fateh,29,1985,7,6,529,0,0,0,0,1,0,0,0,0,0,0,2014
Waleed Abdullah,sa KSA,GK,Al-Shabab,28,1986,17,17,"1,530",0,0,0,0,0,0,0,0,0,0,0,2014
Nawaf Al Abed,sa KSA,"FW,MF",Al-Hilal,24,1990,15,11,913,2,1,0,0,5,0,0.2,0.1,0.3,0.2,0.3,2014
Ahmed Abo Obaid,sa KSA,MF,Al-Fateh,29,1984,9,1,240,1,0,0,0,0,0,0.37,0,0.37,0.37,0.37,2014
Abdulaziz Abo Shaqraa,sa KSA,DF,Al-Fateh,32,1981,23,23,"2,068",0,2,0,0,1,0,0,0.09,0.09,0,0.09,2014
Mohammed Abousaban,sa KSA,MF,Al-Ittihad,24,1990,15,8,753,1,0,0,0,5,1,0.12,0,0.12,0.12,0.12,2014
Talal Al-Absi,sa KSA,DF,Al-Ittihad,21,1993,13,13,"1,170",0,0,0,0,3,0,0,0,0,0,0,2014
Shadi Abu Hash'hash,jo JOR,"DF,MF",Al-Taawoun,33,1981,24,24,"1,959",0,0,0,0,5,0,0,0,0,0,0,2014
Ahmed Adams,gh GHA,DF,Al-Shoulla,21,1993,7,7,630,0,0,0,0,0,0,0,0,0,0,0,2014
